Date : 2021-07-25 13:40:42
Directory : /home/mahdi/Desktop/finwise/finwise
Total : 2851 files,  214348 codes, 15214 comments, 14006 blanks, all 243568 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/202-taiwan.svg                                                                           | XML          |         42 |          1 |          1 |         44 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/203-sahrawi-arab-democratic-republic.svg                                                 | XML          |         41 |          1 |          1 |         43 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/204-guernsey.svg                                                                         | XML          |         39 |          1 |          1 |         41 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/205-switzerland.svg                                                                      | XML          |         35 |          1 |          1 |         37 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/206-rwanda.svg                                                                           | XML          |         43 |          1 |          1 |         45 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/207-guam.svg                                                                             | XML          |         48 |          1 |          1 |         50 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/208-palestine.svg                                                                        | XML          |         37 |          1 |          1 |         39 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/209-indonesia.svg                                                                        | XML          |         35 |          1 |          1 |         37 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/210-grenada.svg                                                                          | XML          |         51 |          1 |          1 |         53 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/211-poland.svg                                                                           | XML          |         35 |          1 |          1 |         37 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/212-moldova.svg                                                                          | XML          |         86 |          1 |          3 |         90 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/213-gibraltar.svg                                                                        | XML          |         47 |          1 |          1 |         49 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/214-malawi.svg                                                                           | XML          |         62 |          1 |          1 |         64 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/215-falkland-islands.svg                                                                 | XML          |         93 |          1 |          1 |         95 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/216-england.svg                                                                          | XML          |         35 |          1 |          1 |         37 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/217-virgin-islands.svg                                                                   | XML          |         60 |          1 |          1 |         62 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/218-turkey.svg                                                                           | XML          |         38 |          1 |          1 |         40 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/219-isle-of-man.svg                                                                      | XML          |        100 |          1 |          1 |        102 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/220-vietnam.svg                                                                          | XML          |         35 |          1 |          1 |         37 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/221-tuvalu.svg                                                                           | XML          |         68 |          1 |          1 |         70 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/222-niger.svg                                                                            | XML          |         37 |          1 |          1 |         39 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/223-turks-and-caicos.svg                                                                 | XML          |         68 |          1 |          1 |         70 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/224-portugal.svg                                                                         | XML          |         54 |          1 |          1 |         56 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/225-maldives.svg                                                                         | XML          |         36 |          1 |          1 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/226-united-states.svg                                                                    | XML          |         87 |          1 |          1 |         89 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/227-senegal.svg                                                                          | XML          |         37 |          1 |          1 |         39 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/228-nauru.svg                                                                            | XML          |         36 |          1 |          1 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/229-turkmenistan.svg                                                                     | XML          |         90 |          1 |          1 |         92 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/230-singapore.svg                                                                        | XML          |         43 |          1 |          1 |         45 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/231-libya.svg                                                                            | XML          |         40 |          1 |          1 |         42 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/232-yemen.svg                                                                            | XML          |         36 |          1 |          1 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/233-transnistria.svg                                                                     | XML          |         35 |          1 |          1 |         37 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/234-australia.svg                                                                        | XML          |         65 |          1 |          1 |         67 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/235-tokelau.svg                                                                          | XML          |         44 |          1 |          1 |         46 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/236-republic-of-macedonia.svg                                                            | XML          |         49 |          1 |          1 |         51 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/237-netherlands.svg                                                                      | XML          |         36 |          1 |          1 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/238-thailand.svg                                                                         | XML          |         39 |          1 |          1 |         41 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/239-montenegro.svg                                                                       | XML          |         48 |          1 |          1 |         50 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/240-azores-islands.svg                                                                   | XML          |         65 |          1 |          1 |         67 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/241-st-vincent-and-the-grenadines.svg                                                    | XML          |         41 |          1 |          1 |         43 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/242-madagascar.svg                                                                       | XML          |         36 |          1 |          1 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/243-canada.svg                                                                           | XML          |         42 |          1 |          1 |         44 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/244-south-sudan.svg                                                                      | XML          |         43 |          1 |          1 |         45 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/245-jersey.svg                                                                           | XML          |         88 |          1 |          1 |         90 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/246-india.svg                                                                            | XML          |         58 |          1 |          1 |         60 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/247-somaliland.svg                                                                       | XML          |         63 |          1 |          1 |         65 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/248-russia.svg                                                                           | XML          |         36 |          1 |          1 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/249-democratic-republic-of-congo.svg                                                     | XML          |         40 |          1 |          1 |         42 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/250-sint-eustatius.svg                                                                   | XML          |         38 |          1 |          1 |         40 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/251-samoa.svg                                                                            | XML          |         42 |          1 |          1 |         44 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/252-mexico.svg                                                                           | XML          |         59 |          1 |          1 |         61 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/253-seychelles.svg                                                                       | XML          |         38 |          1 |          1 |         40 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/254-nato.svg                                                                             | XML          |         41 |          1 |          1 |         43 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/255-brazil.svg                                                                           | XML          |         50 |          1 |          1 |         52 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/256-georgia.svg                                                                          | XML          |         41 |          1 |          1 |         43 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/257-sardinia.svg                                                                         | XML          |         41 |          1 |          1 |         43 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/258-mongolia.svg                                                                         | XML          |         49 |          1 |          1 |         51 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/259-european-union.svg                                                                   | XML          |         48 |          1 |          1 |         50 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/260-united-kingdom.svg                                                                   | XML          |         56 |          1 |          1 |         58 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/261-kiribati.svg                                                                         | XML          |         48 |          1 |          1 |         50 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/flags/262-hawaii.svg                                                                           | XML          |         64 |          1 |          1 |         66 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-1.svg                                                                            | XML          |         10 |          0 |          1 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-10.svg                                                                           | XML          |         29 |          0 |          1 |         30 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-11.svg                                                                           | XML          |         29 |          0 |          1 |         30 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-12.svg                                                                           | XML          |         25 |          0 |          1 |         26 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-13.svg                                                                           | XML          |         13 |          0 |          1 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-2.svg                                                                            | XML          |         35 |          0 |          1 |         36 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-3.svg                                                                            | XML          |         16 |          0 |          1 |         17 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-4.svg                                                                            | XML          |         13 |          0 |          1 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-5.svg                                                                            | XML          |         12 |          0 |          1 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-6.svg                                                                            | XML          |         13 |          0 |          1 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-7.svg                                                                            | XML          |         12 |          0 |          1 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-8.svg                                                                            | XML          |         37 |          0 |          1 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/humans/custom-9.svg                                                                            | XML          |          9 |          0 |          1 |         10 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Brassiere.svg                                                                    | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Briefcase.svg                                                                    | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Cap.svg                                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Crown.svg                                                                        | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Dress.svg                                                                        | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Hanger.svg                                                                       | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Hat.svg                                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Panties.svg                                                                      | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Shirt.svg                                                                        | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Shoes.svg                                                                        | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Shorts.svg                                                                       | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Sneakers.svg                                                                     | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Socks.svg                                                                        | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Sun-glasses.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/T-Shirt.svg                                                                      | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Clothes/Tie.svg                                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Backspace.svg                                                                       | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/CMD.svg                                                                             | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Code.svg                                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Commit.svg                                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Compiling.svg                                                                       | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Control.svg                                                                         | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Done-circle.svg                                                                     | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Error-circle.svg                                                                    | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Git1.svg                                                                            | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Git2.svg                                                                            | XML          |         15 |          1 |          0 |         16 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Git3.svg                                                                            | XML          |         13 |          1 |          0 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Git4.svg                                                                            | XML          |         13 |          1 |          0 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Github.svg                                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Info-circle.svg                                                                     | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Left-circle.svg                                                                     | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Loading.svg                                                                         | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Lock-circle.svg                                                                     | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Lock-overturning.svg                                                                | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Minus.svg                                                                           | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Option.svg                                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Plus.svg                                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Puzzle.svg                                                                          | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Question-circle.svg                                                                 | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Right-circle.svg                                                                    | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Settings4.svg                                                                       | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Shift.svg                                                                           | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Spy.svg                                                                             | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Stop.svg                                                                            | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Terminal.svg                                                                        | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Thunder-circle.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Time-schedule.svg                                                                   | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Warning-1-circle.svg                                                                | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Code/Warning-2.svg                                                                       | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Active-call.svg                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Add-user.svg                                                               | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Address-card.svg                                                           | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Adress-book1.svg                                                           | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Adress-book2.svg                                                           | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Archive.svg                                                                | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Call#1.svg                                                                 | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Call.svg                                                                   | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat-check.svg                                                             | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat-error.svg                                                             | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat-locked.svg                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat-smile.svg                                                             | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat1.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat2.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat4.svg                                                                  | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat5.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Chat6.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Clipboard-check.svg                                                        | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Clipboard-list.svg                                                         | XML          |         17 |          1 |          0 |         18 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Contact1.svg                                                               | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Delete-user.svg                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Dial-numbers.svg                                                           | XML          |         18 |          1 |          0 |         19 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Flag.svg                                                                   | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Forward.svg                                                                | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Group-chat.svg                                                             | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Group.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Incoming-box.svg                                                           | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Incoming-call.svg                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Incoming-mail.svg                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-at.svg                                                                | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-attachment.svg                                                        | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-box.svg                                                               | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-error.svg                                                             | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-heart.svg                                                             | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-locked.svg                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-notification.svg                                                      | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-opened.svg                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail-unocked.svg                                                           | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Mail.svg                                                                   | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Missed-call.svg                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Outgoing-box.svg                                                           | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Outgoing-call.svg                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Outgoing-mail.svg                                                          | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/RSS.svg                                                                    | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Readed-mail.svg                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Reply-all.svg                                                              | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Reply.svg                                                                  | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Right.svg                                                                  | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Safe-chat.svg                                                              | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Send.svg                                                                   | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Sending mail.svg                                                           | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Sending.svg                                                                | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Share.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Shield-thunder.svg                                                         | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Shield-user.svg                                                            | XML          |         12 |          1 |          0 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Snoozed-mail.svg                                                           | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Spam.svg                                                                   | XML          |         10 |          1 |          0 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Thumbtack.svg                                                              | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Urgent-mail.svg                                                            | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Communication/Write.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Cooking/Baking-glove.svg                                                                 | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Cooking/Bowl.svg                                                                         | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Cooking/Chef.svg                                                                         | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Cooking/Cooking-book.svg                                                                 | XML          |         16 |          1 |          0 |         17 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Cooking/Cooking-pot.svg                                                                  | XML          |         11 |          1 |          0 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/icons/Cooking/Cutting board.svg                                                                | XML          |         11 |          1 |          0 |         12 |
